"order","system","trial","attempt","valid","invalid_reason","input_events","input_bytes","output_messages","output_bytes","retained_events","sequence_sha256","throughput_eps","byte_reduction_percent","message_reduction_percent","tool_rss_mean_mb","tool_rss_peak_mb","nats_rss_mean_mb","stack_rss_mean_mb","tool_cpu_mean_percent","nats_cpu_mean_percent","latency_p50_ms","latency_p95_ms","temperature_mean_c","temperature_peak_c","throttled_samples","energy_wh","joules_per_input_event","power_mean_w"
"1","nephtys","1","1","True","","12000","2730398","155","892955","7733","d47a65d35398722d073ced6e8412210f2f81fd670dd9d3cc81e78385e5fc1b7a","40,044277531634705","67,29579350702718","98,70833333333333","19,425299657534246","20,15625","19,515553652968038","38,940853310502284","0,3232033703818973","0,09888505833834951","1006","2008","47,074885844748934","48,3","0","0,30684","0,09205200000000001","3,609589041095892"
"2","nodered","1","1","True","","12000","2730398","155","892955","7733","d47a65d35398722d073ced6e8412210f2f81fd670dd9d3cc81e78385e5fc1b7a","40,03792845011386","67,29579350702718","98,70833333333333","128,8406107305936","142,484375","18,695918949771688","147,53652968036528","0,7270349129750961","0,1032247102845513","1010","2014","47,58812785388124","50,5","0","0,30522","0,091566","3,588127853881281"
"3","nodered","2","1","True","","12000","2730398","155","892955","7733","d47a65d35398722d073ced6e8412210f2f81fd670dd9d3cc81e78385e5fc1b7a","40,042308516314236","67,29579350702718","98,70833333333333","128,5814783105023","141,859375","18,516124429223744","147,09760273972603","0,7157193742711708","0,10313482081912399","1008","2013","46,97214611872154","48,3","0","0,303627","0,09108809999999999","3,5694063926940656"
"4","nephtys","2","1","True","","12000","2730398","155","892955","7733","d47a65d35398722d073ced6e8412210f2f81fd670dd9d3cc81e78385e5fc1b7a","40,006294657078506","67,29579350702718","98,70833333333333","19,570170454545455","20,28125","19,282244318181817","38,85241477272727","0,32564871661019346","0,09944825805942006","1006","2009","46,83590909090919","48,3","0","0,3085089999999999","0,09255269999999997","3,6150000000000007"
"5","nephtys","3","1","True","","12000","2730398","155","892955","7733","d47a65d35398722d073ced6e8412210f2f81fd670dd9d3cc81e78385e5fc1b7a","40,04387886779901","67,29579350702718","98,70833333333333","19,528053977272727","20,390625","19,215696022727272","38,74375","0,3192820933738425","0,1035097102235591","1006","2010","47,87727272727285","51","0","0,30668399999999996","0,09200519999999998","3,6045454545454563"
"6","nodered","3","1","True","","12000","2730398","155","892955","7733","d47a65d35398722d073ced6e8412210f2f81fd670dd9d3cc81e78385e5fc1b7a","40,04344266377243","67,29579350702718","98,70833333333333","127,98801369863014","142,4375","18,58162100456621","146,56963470319636","0,7164174122166914","0,10721404939758918","1009","2012","47,127397260274066","48,3","0","0,30606599999999995","0,0918198","3,5958904109589067"
