"valid","invalid_reason","system","trial","order","attempt","timestamp_utc","duration_s","input_events","input_bytes","output_messages","output_payload_bytes","output_events","byte_reduction_pct","message_reduction_pct","throughput_eps","input_loss","tool_rss_mean_mb","tool_rss_peak_mb","tool_cpu_mean_pct","nats_rss_mean_mb","nats_cpu_mean_pct","stack_rss_mean_mb","latency_p50_ms","latency_p95_ms","sequence_sha256"
"True","","nephtys","1","1","1","2026-07-14T13:40:04.8871104Z","299,990088","12000","2730398","155","892955","7733","67,295794","98,708333","40,001322","0","19,180929","19,90625","0,039062","8,04724","2,531318","27,228169","1004","2004","d47a65d35398722d073ced6e8412210f2f81fd670dd9d3cc81e78385e5fc1b7a"
"True","","nodered","1","2","1","2026-07-14T13:45:53.6896328Z","299,738104","12000","2730398","155","892955","7733","67,295794","98,708333","40,03495","0","109,207546","121,40625","0,257043","7,750961","2,554186","116,958507","1006","2007","d47a65d35398722d073ced6e8412210f2f81fd670dd9d3cc81e78385e5fc1b7a"
"True","","nodered","2","3","1","2026-07-14T13:51:43.6459721Z","299,746956","12000","2730398","155","892955","7733","67,295794","98,708333","40,033768","0","110,015776","122,03125","0,260412","7,660612","2,842248","117,676389","1006","2006","d47a65d35398722d073ced6e8412210f2f81fd670dd9d3cc81e78385e5fc1b7a"
"True","","nephtys","2","4","1","2026-07-14T13:57:33.4794216Z","299,992801","12000","2730398","155","892955","7733","67,295794","98,708333","40,00096","0","19,178264","19,808594","0,034155","7,875295","2,78845","27,053559","1005","2005","d47a65d35398722d073ced6e8412210f2f81fd670dd9d3cc81e78385e5fc1b7a"
"True","","nephtys","3","5","1","2026-07-14T14:03:21.8623672Z","300,007007","12000","2730398","155","892955","7733","67,295794","98,708333","39,999066","0","19,051478","19,75","0,010953","8,104163","2,506202","27,155641","1004","2004","d47a65d35398722d073ced6e8412210f2f81fd670dd9d3cc81e78385e5fc1b7a"
"True","","nodered","3","6","1","2026-07-14T14:09:12.4069177Z","299,762638","12000","2730398","155","892955","7733","67,295794","98,708333","40,031673","0","109,577943","121,648438","0,398802","7,714287","2,582558","117,29223","1007","2007","d47a65d35398722d073ced6e8412210f2f81fd670dd9d3cc81e78385e5fc1b7a"
