"order","system","trial","attempt","valid","invalid_reason","input_events","input_bytes","output_messages","output_bytes","retained_events","sequence_sha256","throughput_eps","byte_reduction_percent","message_reduction_percent","tool_rss_mean_mb","tool_rss_peak_mb","nats_rss_mean_mb","stack_rss_mean_mb","tool_cpu_mean_percent","nats_cpu_mean_percent","latency_p50_ms","latency_p95_ms","temperature_mean_c","temperature_peak_c","throttled_samples","energy_wh","joules_per_input_event","power_mean_w"
"1","nephtys","0","1","True","","120","27300","2","7631","66","47457425b9aae45b76d72f7ddae563b508417dbd747616f693014b4bf423d2e9","39,99916535074968","72,04761904761905","98,33333333333333","19,1875","19,1875","17,96875","37,15625","0","0","1513","4511","48,46666666666666","48,8","0","0,00909","0,27270000000000005","3,5666666666666664"
"2","nodered","0","1","True","","120","27300","2","7631","66","47457425b9aae45b76d72f7ddae563b508417dbd747616f693014b4bf423d2e9","44,72289081908745","72,04761904761905","98,33333333333333","113,76041666666667","113,9375","16,958333333333332","130,71875","0,9803431229859386","0","1526","4666","47,9","48,3","0","0,009084000000000002","0,27252000000000004","3,433333333333333"
